Vitals:
Short Term Values:
Time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
"2021-04-15 17:43:31","60661520","35","0","0","0","491","1247","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:32","60661580","35","0","0","0","491","1248","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:33","60661600","35","0","0","0","491","1237","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8232","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:34","60661636","35","0","0","0","491","1237","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8232","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:35","60661384","35","0","0","0","491","1237","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","112","2","33","131072","8232","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:36","60661384","35","0","0","0","491","1237","2","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8232","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:37","60661384","35","0","0","0","491","1237","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8232","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:38","60661384","35","0","0","0","491","1237","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8232","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:39","60661384","35","0","0","0","491","1237","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8232","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:40","60661132","35","0","0","0","491","1237","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8232","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:41","60664912","35","0","0","0","491","1244","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8232","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
